profile,姓名,id,等级,武力,满武力,书籍经验,总资质
15504973518,胡雪岩,18,250,72,123,10249,108
15504973518,曹雪芹,19,300,130,171,8325,157
15504973518,海大富,20,300,96,170,14820,162
15504973518,华佗,21,250,64,109,9195,199
15504973518,墨子,22,250,64,113,9880,118
15504973518,杜甫,23,300,44,129,17196,104
15504973518,廉颇,24,350,127,200,14640,190
15504973518,庄周,25,250,64,100,7349,244
15504973518,李元芳,26,250,8,8,35,80
15504973518,鲁班,27,250,28,28,54,64
15504973518,孙武,28,350,106,182,15283,142
15504973518,张良,29,233,13,13,190,43
15504973518,姜子牙,30,200,14,14,195,41
15504973518,孙膑,31,118,14,14,73,41
15504973518,关羽,33,400,2875,2971,19361,2920
15504973518,张飞,34,400,1761,1869,21759,1797
15504973518,赵云,35,391,429,482,10611,456
15504973518,马超,36,400,432,471,7875,456
15504973518,黄忠,37,350,140,251,22300,167
15504973518,诸葛亮,38,400,1007,1031,4900,1079
15504973518,庞统,39,400,499,557,11621,538
15504973518,周瑜,40,350,152,285,26698,188
15504973518,郭嘉,41,400,255,323,13629,294
15504973518,荆轲,43,400,402,494,18518,5976
15504973518,韦小宝,44,400,246,358,22590,3873
15504973518,黄飞鸿,45,400,349,440,18251,700
15504973518,李白,46,350,123,197,14956,204
15504973518,关银屏,51,500,5034,5101,13459,5100
15504973518,马云騄,55,440,242,345,20691,5396
profile,姓名,id,等级,武力,满武力,书籍经验,总资质
13812788376,零零发,1,400,262,269,1581,382
13812788376,鳌拜,2,400,330,336,1363,543
13812788376,和珅,3,350,197,198,266,287
13812788376,郑板桥,4,300,136,136,115,184
13812788376,喜来乐,5,350,187,188,240,235
13812788376,苏乞儿,6,400,339,346,1411,513
13812788376,李卫,7,350,158,158,195,272
13812788376,刘伯温,8,400,204,211,1525,222
13812788376,林则徐,9,300,163,164,227,211
13812788376,方世玉,10,400,500,505,1073,581
13812788376,多尔衮,11,400,500,503,776,587
13812788376,左宗棠,12,400,305,314,1925,365
13812788376,张之洞,13,350,190,198,1721,283
13812788376,蒲松龄,14,300,129,130,259,189
13812788376,李鸿章,15,300,125,126,232,149
13812788376,李寻欢,16,360,475,482,1516,649
13812788376,索尼,17,350,137,137,195,266
13812788376,胡雪岩,18,350,188,188,163,254
13812788376,曹雪芹,19,350,154,155,218,199
13812788376,海大富,20,370,308,316,1763,404
13812788376,华佗,21,350,122,122,142,197
